id,name,tagline,rating,reviews
spotlight-result-product-563977,Mental,How Men Strengthen Their Mindset,5,5 reviews
spotlight-result-product-564654,mentalport-app: AI Mental Health Coach,"Personal systemic AI coach, everyday companion & health hub",5,3 reviews
spotlight-result-product-570505,Yuna AI — Your Mental Health Coach,A safe place for self-discovery,5,1 review
spotlight-result-product-1090491,Ash,The first AI designed for therapy,5,2 reviews
spotlight-result-product-881782,todai,Your first personalized happy lifestyle index,5,3 reviews
spotlight-result-product-664426,TherapyAI,AI Therapist for stress and anxiety,5,5 reviews
spotlight-result-product-598860,MYND,24/7 AI Bestie For Your Mental Wellness,0,
spotlight-result-product-544793,Soula Care,"AI-powered assistant for pregnancy, birth and postpartum",5,14 reviews
spotlight-result-product-578234,Guin - Your GoodMind Buddy,It's all about YOU!,0,
spotlight-result-product-1075120,MoodGallery: Emotions to art,Turn your moods into personalized AI artwork,5,1 review
